content,polarity
"Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.",P
RT : A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra #MultiplicoComoPaulinaRubio ja ja ja muy bueno!,P
Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?,N
"Buenos dias y mil gracias RT : Buen día ,mi concejala favorita.",P
. critica que pida a una reunión que niega a sus alcaldes ,N
Krugman: la austeridad está matando al euro via ,N
".: ""¿quién es el tapado del PSOE? La respuesta está en mi blog ”¿Sólo ha leído dos libros?"" Era una metáfora.",N
". . ""el tapado ha leido más de 2! es licenciado en historia contemporanea y master en integración europea..”Viva la ironía",NEU
;-)) RT : #arte #cultura #pintura #museo #museums,P
Rajoy quiere que España vuelva a tener relevancia en Europa ,P
"Políticos q no responden. ""En ningún país dl mundo homologable al nstro se tolera semejante práctica"" via ",N
" Obviamente, contar que son declaraciones q no ha permitido preguntas.",N
"No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao ( ). ",P
Palmas por sevillanas para animar a Rafa!! #sevillaciudadtalisman #copadavis,P
Recién llegada a Madrid!!por fin en casitaaa pero que frío!!No me quiero ni imaginar como hará en la sierra y mas cuando sea de noche....,NEU
"'Chico & Rita', premio europeo a la mejor cinta de animación ",P
Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO,P
"Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.#VamosRafa #CopaDavis ole !!",P
"Buen artículo de LD. Hay que arrimar el hombro. La Asociación de Ayuda a las Víctimas del 11-M, al borde del cierre ",NEU
"Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad...",P
Menudo break en blanco ha logrado DelPotro. Vamos a sufrir hasta el final. Los hinchas argentinos descentran a Rafa.,NEU
“: mi segundo apellido es camello! Tendré algo que ver con los reyes magos???”te doy mi carta y se la das??jajja bss!,P
"“: Ojo, que yo me apellido ""Molas"", tal cual! y no es broma.”en serio?? Como Mola!! Jajjaja",P
Viaje a las embajadas catalanas del derroche - ABC.es via ,N
"Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! #VamosRafa",P
“: Creo que se ha puesto a responder tweets sobre apellidos por el iPhone. #cosasquenuncaentenderas :)”jaajjajajja,P
Amonestado el público argentino en La Cartuja!!!,N
... Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!,P
"La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe",P
Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz.,P
"que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!!!",P
Grandioso Rafa Nadal!!!!!,P
"El público que cante gritando sin parar: ""por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes..."" ¡Gracias por ser ESPAÑOL!",P
El partido de Putin/Medveded (Rusia Unida) gana los comicios pero sufre una fuerte caía. Segundo partido más votado: Partido Comunista.,NEU
"Felicidades a y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb",P
"Fantásticas, a cual mejor “. qué os parece mi foto de #elprimernaufragio ? ”",P
Fin a la impunidad en #Internet ,P
A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.,N
En el blog: Lágrimas tecnócratas ,N
"""Los ministros d : fin de la ineptocracia"" ",N
"Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos ",N
A por !!;)) buenos días queridos twiteros!!;)),P
Gracias Venezuela!!! ,P
"Bdías, Elisabeth. Estoy muy orgulloso de que EM haya localizado en un remoto lugar de Rumania al testigo que no acudió al juicio.",P
"¿Cómo se explica que miles de españoles se ausenten en masa del trabajo durante el ""puente"", mientras en España hay 5 millones de parados?",N
"Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir #fueradelaley",N
"Sobre ""accidentes""... RT Él había llegado antes ",N
Dani García recoge en un libro 50 tapas para acercar la cocina a la sociedad ,P
"El gobierno chino cree que el país ""no está preparado"" para protestas sociales - ",N
UpyD y Amaiur recurriran a la justicia si no logran grupo. La justicia ya dió todo el poder a la mesa del congreso en caso similar.,N
Hoy abordaremos en la gestión privada de los hospitales públicos. ¿qué ganamos los ciudadanos? ¿qué perdemos?,NEU
"Y mientras tanto, el verdadero problema se agrava año tras año ",N
El sector del lujo cierra el ejercicio con un 25% más de beneficios. ¿Quién sufre la crisis? Pues eso...,NEU
Que bonito despliegue de seguridad en alfonso XII. Contravigilancia en toda la manzana. Y no es nadie del Gobierno!!!!,P
Uno de los desafíos del periodismo. Encontrar su sitio para no perder la vigilancia del poder via ,P
El no aceptará el caramelo de una presidencia de dos años en la FAMP si no hay refundación ,N
"Sí, raritos q somos... ""Si yo fuera España y se tratara de elegir entre 2 o 3 años de caos y 20 o 30 en la miseria..."" ",N
"RT Que triste es esto, Pau! &lt;3! ",N
"Joooooo :-) RT Me dice , que quiere rapear una estrofa del villancico. Lo siento Toni, aquí tenemos a .",P
Entiendo que CNN conecte por Skype con disidentes en Siria pero que la mayoría de las conexiones ya sean por cámara de móvil ...,NEU
Detienen a dos sospechosos por secuestro cooperantes españoles en Tinduf. Intentaron venderlos a AQMI. V ,N
"Toda suya “: Sí Sr. La he grabado. Un saludo desde el otro lado, jeje, ( de España ). Buena tarde.”",P
Entiendo los unfollow. Aceptar el desconcierto. Y hasta reconocer errores. Pero creo fuera de lugar anunciar venganza radiofónica. Eso no,P
;-)))) RT : #FW para y mucha suerte con tu primera entrevista aquí. El hastag es #YNTERVIUMarivi,P
"""España gasta mas en sanidad que tofo el presupuesto en sanidad"" Núñez Feijoo en ",N
A las 22.30 mi primera entrevista en directo en Twitter. Si Quieres seguirla busca el hastag #YnterviuMarivi l ,P
Feliz dia del voluntario... Los hËroes anónimos... Los del sacrificia por eleccion propia. Gracias por tanto.,P
Gracias RT : #YNTERVIUMARIVI Interesante la entrevista de Nuevas herramientas: nuevas formas de comunicar,P
Gracias a ti Paco RT : #YNTERVIUMARIVI Muchísimas gracias. Un beso. La cuelgo en un ratito en ,P
"Aunque en menor medida, también lo son muchas que no son madres ;) : Supermujeres. Gran post de ",P
Una vez q ha hablado el protectorado franco-alemán la Europa a 2 o 3 velocidades está hecha: ahora falta ver dónde queda España,N
"Impresionante! Enhorabuena a y un beso a : Percebeiros, de David Beriain, a por el Goya! ",P
"Sorgiñas, culebras. Cabrones negros de barba larga.",N
"... enough today... la semana es larga, y seguramente más apasionante de lo recomendable.....",P
Me voy a leer un rato 'Un día más con vida' de Ryszard #Kapuscinscki. Gran descubrimiento del reportero polaco. ;) ,P
"Despegando ya...que lindo mi pais, que linda mi gente!! --Shak",P
"Bono celebra su última fiesta en el Congreso y la pregunta es si habrá un Viva España! Con y en RNE, para arrancar.",P
"Triste RT : RT : ""Papá, ¿nosotros qué somos: catalanes o fachas?"" :: Barcelona :: Cataluña: ",N
Extorsión mafiosa; por Carlos García - en vía ,N
"No sé de que se sorprenden algunos. El PP presenta unos presupuestos tarde, sin negociar, cargándose la universidad, recortando derechos...",N
¿Se plantea Rajoy subir el IVA? ,N
"¡Constitución, Constitución!, ¡Cuántos viajes y comidas gratis se han dado en tu nombre!, feliz día.",N
BUENOS DÍAS PARTY TIME!!!,P
"A los okupas no les gusta el edificio de Concepcion Jeronima xq esta en obras. Les gustan mas los edificios a estrenar, pero sin pagar...",NEU
Hoy en el Día de la Constitución me acuerdo como cada día de los millones de personas bajo en umbral de la pobreza #vivalaconstitucion,N
Monti dice que no cobrará como primer ministro. Demagogia populista para hacer tragar el ricino de los recortes. La aristocracia financiera,N
Chacón confía en la democracia interna de los partidos.. Día de la Constitución. #Congreso,P
. #congreso: Primera ley será desarrollo reforma constitución xra garantizar estabilidad presupuestaria. Lo dirá #ZP n Bruselas,P
Empieza el acto de homenaje a la Constitución con el próximo Presidente del Gobierno. #vivalaconstitucion ,P
Bono a ZP: has dado lo mejor de ti a España en un momento muy difícil. A Rajoy le desea acierto en sus decisiones x el bien de todos.,P
"Gallardon habla amigablemente con Zapatero, Guerra con Alonso, Pepiño recibe el cariño de periodistas amigos",P
Otro enchufado más antes de que se vaya ZP ,N
Rajoy rompe su silencio en la fiesta del Congreso plagada de ausentes ”,N
Corrillo Rajoy: Los tengo [a los ministros] en la cabeza pero no he hablado de nada con nadie. ¿Sorpresas? Soy razonablemente previsible.,NEU
"Las instituciones deberían hacer dl día d l Constitución 1 fiesta cívica d todos,destacando valores democráticos y no 1 acto para políticos",P
En alguna CA como Cataluña ni siquiera hay acto institucional en un día como hoy.No interesa recordar #LaConstitucionquenosUne,N
Me agrada coincidir con mi amigo mechor en la denuncia de las tecnicas mafiosas en el Euskadi,P
"Dios mío, es tan real que da miedo... ¡ánimo mamás trabajadora, nosotras podemos!!! Supermujeres ",P
"........ ya ya......Griñán ve ""imposible"" ser imputado en el caso ERE ",N
Gracias por seguirme ;-)),P
Una vez me dijo un amigo hace daño quien puede y no quien quiere...que razon tenia!!! Seguire aqui por esas 248.315 personas que me quereis!,NEU
Y ahí va el editorial. RT por favor. CÃ³mo pasar en el 11-M de impostor a testigo de cargo ,N
A ver... Se aclara lo de las entradas o qué???. Aquí los actores esperando. #terratpack ,P
El Museo de la Cueva de Nerja abre con una previsión de 100.000 visitas al año ,P
“: 17 periodistas han sido asesinados durante el último año en Honduras: ”,N
"Ahora si que me despido! a lavar los piños y ¨pa¨ la cama! Hola un beso de buenas noches para ti, que veo que acabas de llegar",P
Tu q sabes seguro q me has entendido :),P
"Sintonía total entre Rajoy y Zapatero, con importantes matices de Rubalcaba. La recepción del día de la Constitución ",P
Merkel y Sarkozy se rinden a los encantos del presidente Rajoy vía ,P
"RT : Sr. Mas, no garantizar una sanidad publica de calidad universal es anticonstitucional ,por eso no celebra dia constitucion?",N
"Buenos días. Sin Presidente del Gobierno pleno y sin verdadero líder d la oposición, los partidos se ponen d acuerdo. Luego es posible!",N
"Europa se construye recortando Estado del Bienestar? Austeridad si, pero inteligente: Estado del Bienestar moderno e inversión cree empleo",N
No dejeis de ver el video que acabo de RT con la declaración de J-70. Fijaos en Bermudez en los minutos 17 y 21. Zougam merece otro juicio.,P
"#Bdías!! vaya tiempo que hace hoy: niebla, que parece que estamos en la boca del lobo, y frío, mucho frío. Apetece algo calentido pal cuerpo",N
"Buenos días,os adjunto mi columna hoy en sobre la necesidad d una reforma constitucional ",P
"De dónde saldrá el dinero para el banco malo de Rajoy, según el WSJ. ",N
A vosotros RT : Gracias Marivi RT Me encanta ver por aqui a ;-)),P
Sobre una amiga y compañera de partido... ,P
Interesante análisis de sobre los retos del socialismo. ,P
"igualmente!!!“: Te responderé dentro de nueve meses, . Un inmenso placer tenerte hoy en .”",P
"A las 3 en , los pilotos de Iberia ponen en riesgo el viaje de Navidad de miles de personas: huelga los días 18 y 29 de diciembre",N
Queremos potenciar y estimular a los mejores alumnos. Será impartido por profesores funcionarios.,P
"Si eso, Bono podía haber convocado la última diputación permanente del congreso el lunes a las 11 de la noche... Sólo lo ha hecho a las 6,30",NEU
"La novia de Cristiano Ronaldo, Irina de nombre, prefiere ""jugar"" sin camiseta, se vé que no aprecia tanto los colores. ",N
"Por qué no se exige a los bancos intervenidos con dinero público una linea d crédito para PYMES, autónomos y nuevas empresas que contraten?",N
"Otra lectura navideña recomendada: El reto de Rajoy, de y Rafa Bardají",P
¿Por qué el felipismo suspende su cena conciabulo? Se lo contamos en el 20:30,N
Sinde echa mano de chequera para beneficiar a sus amigos. Se lo contamos en nuestro Top secret. 20:30,N
Andalucía pretende 'robar' los colegios de los curas y monjas. Se lo contamos en el 20:30,N
De la Torre espera llegar a un acuerdo con el Puerto por el traslado de los cruceristas ,P
El Ayuntamiento plantea un proyecto que mejora la accesibilidad del Teatro Romano ,P
Yo nunca he dicho eso “: Pero no habíamos quedado en que fue ETA?”,N
Hoy en el Gato: Juan Rosell. A favor del banco malo? ,N
Mañana contamos en EL PAÍS la charla con la que Iñaki Urdangarín convenció a Jaume Matas para firmar el convenio de Nóos. ¿De ...,P
Llaman a IU antisistema por denunciar la reforma que los mercados han hecho a la Constitución. ¿Y ellos que son? ¿Anticonstitucionales?,N
Jeje.. RT Lo siento pero esta mañana me he echado unas risas a tu costa ;),P
"Interesante: militantes q votan delegados Congreso RT “: Guadalajara, abriendo camino ” V ",P
"RT:“: ""En los periódicos falta calor, sudor.. humanidad"". Gran entrevista sobre periodismo ” vía ",NEU
Una lástima lo de hoy pero esto no termina acá. En el fútbol siempre hay revancha y tenemos equipo para pelear por grandes cosas,N
A vosotros siempre ;-)) RT : Gracias! :),P
Mucho insomne por aquí... ¿Será por el presunto puente o por el 'recorte' de la familia real? :-),NEU
Gracias a los 40 principales Chile que se ha unido a podeis visitar la (cont) ,P
"Ahora dicen que regalan la CAM al Banco Sabadell a cargo del fondo de garantía. Se olvidan del FROB, financiado con fondos públicos.",P
Mis disculpas a por confundirlo con Jesús Cacho.,N
El duque ofreció a Matas su amistad con Leblanc para llevar el Tour a Baleares y lograr el contrato del millón ... ,P
Rajoy acaba de entrar en la asamblea del PP Europeo. Sonriente y a punto de comenzar maratón de reuniones,P
La heredera en la sombra del imperio Zara ,P
"+10 RT: “: Los lectores de Chaves Nogales, de enhorabuena. ”",P
"Excelente resumen de la presentación del último disco de Bebe, escrito por Fermín Zabalegui ",P
Y el menú increíble ,P
España es el país con más sobrecualificación laboral de toda la Unión Europea ,N
Cambio de conversación: de déficit a crecimiento.“: ”,NEU
 ya nos contarás si explota Europa (como dice Sarkozy),N
"Rajoy cumple lo que le manda la troika : Más recortes sociales, el banco malo pagado por los ciudadanos y devaluar empleo y salarios",N
Los videos sobre la final de la Copa Davis subidos a Youtube alcanzan más de 580.000 visitas #copadavis,P
"La bolsa baja, la prima sube. ¿La razón? Que el BCE sigue negándose a actuar en el mercado de la deuda por el veto alemán.",N
El Gobierno en funciones indulta a dos empresarios condenados por defraudar 27 millones / vía ,N
Termina la cumbre de Marsella. #Rajoy ofrece compromiso con el déficit y exige capacidad de decisión para España.,NEU
"RT : Cosmeticos de lujo y una suite en Moscu el despilfarro final de Sinde Ah bueeeno, es que la Suite ...",N
Me parece indignante que la Ministra Sinde gaste 1180 e por noche en un hotel de Moscú . Con 1 noche come 1 familia de 4 personas 3 meses,N
Q lo paguen ellos RT : Últimos días de Mentiras y gordas. saludos,N
"es verdad “: Pero a Miguel Montes no, el preso más antiguo de España que lleva 35 años en la cárcel.Vergonzoso y vomitivo.”",N
Que bien esta en el enhorabuena pelirroja!,P
"Será temprano, pero yo me muero de sueño!!!! Que descanséis todos!!!! Muak",P
"Lo que has de hacer, hazlo pronto “: pues mira... Cuando me lea EPN de me lo leeré. :) jaja!”",P
"Los líderes de los 27 siguen discutiendo, sus portavoces vendiéndonos que hay acuerdo en el fondo pero que discuten la forma... #euco",N
"Hoy la Ertzaintza ha descubierto un""ZULO""con armamento de ETA oculto en montes de Bizkaia entre municipios de Abadiano y ELORRIO",N
"Curiosidad del insomne. Rajoy pide poder de bloqueo sobre fondo de rescate. Si no se lo dan, ¿sería fracaso suyo, de ZP o de los dos?",N
" os dejo con las fotos del concierto de Palma de Mallorca, veréis que visita de lujo he recibido esta noche...",P
". hace dos días:""Muchos rumores estos días... Yo me centro en el trabajo diario y en la ilusión de volver a jugar con mi equipo!”",P
Resumen de la larga y agria noche en Bruselas: pacto fiscal sin Reino Unido y otros by #euco,N
"Me falta información para valorar la reforma d la UE aprobada esta noche. Espero q ""nuevo"" euro no solo tenga cruz sino también, cara.",NEU
"Después d comprometerlo en conversaciones internacionales, quiero saber como va Rajoy a recortar los 30.000 m d euros de déficit en 2012.",NEU
Bdías. Que el Reino Unido se quede fuera indica que los paises del euro han dado un paso clave en la buena dirección de la Unión Fiscal.,P
"Rajoy actuó ayer por primera vez como jefe de Gobierno y entró en Europa pisando fuerte, prometiendo y exigiendo. Lo mismo que hizo Aznar.",P
Última entrada de #ZP al Consejo UE. Sonriente #euco,P
Intentando llegar a un pacto con los virus para que depongan las armas y su actitud. Inmunidad a cambio de inmunidad.,NEU
"A la ofensa, oídos sordos. Es jodido cuando te arrancan la mandíbula de un zarpazo #malditosorcos",N
Ahora??? #toolate ....Zapatero ofrece rigor en nombre de Rajoy para recobrar peso en la UE ,P
";-)))) RT : gracias, aún faltan unos días pero no sé si tendré tiempo de hacer algo para celebrarlo",NEU
RT: “: Un periodista obtiene el documento que explica a qué tiene miedo el Reino Unido. ”,N
RT Papelón #ZP entre el chipriota y el irlandés sin traductores y sin poder hablar. En adelante el papelón será de Rajoy,N
"Merkel, Sarko y Barroso charlando en pie. Cameron sentado solo con cara de enfado #euco",N
Encontrado nuevo zulo con explosivos en el País Vasco. Mientras ETA exista el camino es seguir combatiéndola.,N
";-))) RT : Con tu permiso, me sumo a ese #FF para ",P
#FF a y porque son las reinas del mundo (y del mío).,P
Jajajaja! Me río por no llorar!! RT en Cuba no hay una dictadura,N
#FF para . Ella ya sabe...,P
Increíble q aún exista gente que defienda el régimen cubano.Este verano en Cuba no oí a nadie hacerlo!Esa izquierda trasnochada española...,N
Lo pasamos muy bien “: Te recomiendo que no le falles. Es un lujo saludarle en persona. ”,P
Cameron rechaza reformar el Tratado de Lisboa y el acuerdo se limitará a 23 países europeos ,NEU
Zapatero dice que Rajoy ha comprendido perfectamente que no haya calado su idea del veto con solo el 10% para el fondo de rescate europeo.,P
Gracias chicos“: : la última estrella ya brilla en Antena 3 []”,P
"Túnel de los Roquillos, El Hierro. Su cierre durante semanas causó pérdidas ecas considerables ",N
"¿En qué se supone que ha cedido Merkel en esta ""dura negociación""?",N
"Eso es ;-)) RT : Por supuesto que nos veremos en #Sevilla, un besazo :-) ",P
"Lo de Guardiola no es una rueda de prensa, es un alarde de paciencia. Ojalá ahora se transforme en Bebe y nos echemos unas risas.",P
"Ironía, por qué le abandonas.",N
"Todo mi apoyo y mi cariño a Luis Aizpeolea, gran periodista y excelente persona",P
¡Lo mejor de mi timeline está disponible! ▸ Historias del día por ,P
Los 10 mandamientos para hacer una buena campaña electoral 2.0 ,P
"""€uropa se £ibra"", nuestra conclusión de la cumbre del euro y el aislamiento definitivo del Reino Unido.#portadaEPC",N
Este tema os dejo hoy amig. Sergio Dalma y Rafita (que será de mi ). Buenas noches. Bs. ,P
Qué tragedia la de estos cubanos que han perdido la vida buscando su libertad! Este Castro no paga ni ... ,N
"""No hay lector con algún problema muy particular que no lo encuentre mencionado en la primera novela que se decida a leer"" Iñaki Uriarte",P
La suerte de la fea la guapa la desea #tipicasfrasesdeabuela,NEU
Estoy harto del clásico. Qué cansino todo el mundo con el partido. Creo que Pep saldrá con defensa de 3.,N
"Jajaja me hacéis reír, y MUCHO. Si fuera un pelota os diría que sois los mejores followers del mundo. Pero como soy yo, os digo vais bien.",P
"¿Os gusta la nueva aplicación de Twitter? A mi me despista bastante. ¿Qué ventajas le veis sobre la anterior? Yo, de momento, ninguna.",N
Que tengáis un buen día familia!!! BESOS Y ABRAZO DE GOL PARA TOD !!!,P
"El BOE publica hoy el indulto de Alfredo Sáenz con 'indulgencia plenaria'. Es decir, se borran excepcionalmente los antecedentes penales.",P
El indulto a Sáenz borra los antecedentes penales para q pueda cumplir con la honorab q exige la normativa bancaria,P
Jajajajajja la mierda del nuevo twitter locooooo me tiene......,N
. La charla entre Enric González y Martí Gómez debería animarnos a crear #maestrosquetuvimos. vía ,P
“: Hola ! Me haces un RT para encontrar el perro de ? En la foto está la info! ”,N
 animo.y ojo,NEU
"Encantado en conoceros “: aquí en la redacción de El Mundo, gracias. ha sido todo un placer cc ”",P
"Y los etarras encarcelados no son unos pobres perseguidos por su pensamiento, son delincuentes que por fanatismo han hecho cosas terribles.",N
